"LLAVEVIV","P0_1","P0_2","P0_3","P0_4_1","P0_4_1A","P0_4_2","P0_4_2A","P1_1","P1_2","P1_3","FOLIO","VIV_SEL","ENT","TLOC","REGION","EST_DIS","UPM_DIS","FAC_VIV"
"0694716","02","03","01","1","3","1","1","06","1","","06947","16","03","2","1","012","00143",609
"0694802","01","02","01","2","","1","1","02","1","","06948","02","10","1","1","053","00779",1309
"0694905","02","02","01","1","2","1","1","04","1","","06949","05","28","1","2","162","01864",1822
"0695004","02","03","01","2","","2","","02","1","","06950","04","22","3","3","123","01462",2245
"0695105","02","02","01","1","1","1","1","02","1","","06951","05","10","1","1","054","00799",1396
"0695203","03","07","02","1","1","1","1","02","1","","06952","03","22","1","3","128","01511",1952
"0695305","01","04","02","1","3","1","1","02","1","","06953","05","05","1","2","030","00336",1549
"0695405","02","03","01","1","1","1","1","02","1","","06954","05","23","1","6","132","01543",1579
"0695506","03","03","01","1","2","1","1","06","1","","06955","06","24","2","2","135","01582",2162
"0695603","02","04","01","2","","1","1","02","1","","06956","03","28","2","2","162","01893",1611
"0695701","03","05","02","1","1","2","","02","1","","06957","01","25","1","1","146","01725",3652
"0695802","03","04","00","2","","2","","05","1","","06958","02","12","4","6","063","00884",3037
"0695903","04","06","01","2","","1","1","03","1","","06959","03","24","1","2","138","01608",1310
"0696004","01","03","01","2","","1","1","01","1","","06960","04","10","1","1","054","00815",1250
